"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","DC","District of Columbia","District of Columbia","11001","11001010300","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","4.0",,,"3.4","4.7","3,604","2,818","POINT (-77.0271875 38.9761556)","11001010300","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2022","DC","District of Columbia","District of Columbia","11001","11001011002","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","79.4",,,"73.4","84.5","1,859","1,791","POINT (-77.0182455 38.8681789)","11001011002","PREVENT","MAMMOUSE","CrdPrv","Mammography"
"2023","DC","District of Columbia","District of Columbia","11001","11001009905","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","15.9",,,"13.3","18.8","2,790","2,066","POINT (-76.9250522 38.8843295)","11001009905","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009810","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","34.0",,,"30.1","38.3","2,461","1,749","POINT (-77.0037886 38.826037)","11001009810","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol"
"2023","DC","District of Columbia","District of Columbia","11001","11001010602","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","3.3",,,"3.0","3.7","6,594","5,900","POINT (-76.9994636 38.9033936)","11001010602","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
"2023","DC","District of Columbia","District of Columbia","11001","11001009807","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","14.1",,,"11.8","16.5","3,523","2,717","POINT (-77.0117577 38.8292038)","11001009807","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001010100","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","66.0",,,"62.9","68.8","2,699","2,625","POINT (-77.0318472 38.9026971)","11001010100","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","DC","District of Columbia","District of Columbia","11001","11001980000","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","10.8",,,"9.2","12.4","176","167","POINT (-77.0363219 38.8809933)","11001980000","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001009904","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.9",,,"29.2","43.3","2,886","2,076","POINT (-76.9311353 38.8851712)","11001009904","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2022","DC","District of Columbia","District of Columbia","11001","11001010700","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","76.3",,,"72.3","79.9","2,296","2,210","POINT (-77.0419809 38.9039988)","11001010700","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
